CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4
TQRMNOQRPHMOKOCDEOJAH00714382,2021,4,1,1,44,N,93,116,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,0,98,0,0,0
TQRMNOQYUHMMKPCDEOJAH00714383,2021,4,1,1,44,N,93,46,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,1,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,0,98,0,0,0
TQRMNOPSWHMMKRCDEOJAH00714384,2021,4,1,1,44,N,93,43,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,77500,5,6.0,4,,6.0,4,38750.0,7,7.0,5,,7.0,5,57,1,2,98,0,0,0
TQRMNOQYSHMNKTCDEOJAH00714386,2021,4,1,1,44,N,93,64,2,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,85000,6,6.0,5,,6.0,5,21250.0,4,4.0,3,,4.0,3,58,2,0,98,0,0,0
TQRMNOQXVHLLPQCDEIJAH00718674,2021,4,1,1,1,S,33,2822,1,,3,1,,4,1,1,1,,1,1,2,3,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,4,0,4,96870,7,,6,7.0,,7,24217.5,4,,4,4.0,,4,5658,1,2,98,0,0,0
TQRMNORWPHLKPRCDEIJAH00718675,2021,4,1,1,1,S,33,2344,2,,2,1,,9,1,1,1,,1,1,1,1,2,1,2,2,1,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,90000,6,,6,6.0,,6,45000.0,8,,7,8.0,,8,5472,1,2,98,0,0,0
TQRMNOPWQHKLOUCDEIJAH00714088,2021,4,1,1,1,S,33,2256,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,92000,6,,6,6.0,,6,30666.67,6,,5,6.0,,6,4405,2,1,98,0,0,0
TQRMNOQUWHLMLOCDEFIAH00714473,2021,4,1,1,43,S,2,678,2,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,1,2,3,0,0,0
TQRMNOSQUHLMLOCDEFIAH00714474,2021,4,1,1,43,S,2,753,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,30100,2,2.0,2,2.0,,2,15050.0,2,3.0,2,2.0,,2,2047,1,0,98,0,0,0
TQRMNOPQVHJMMPCDEGJBF00715999,2021,4,1,1,43,S,13,622,1,,3,1,,2,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,108000,7,8.0,8,7.0,,8,54000.0,8,9.0,9,8.0,,9,656,2,0,98,0,0,0
