,CODUSU,NRO_HOGAR,AGLOMERADO,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II5_1,II6_1,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,IPCF,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco,genero,edad,cob_medica,NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind_sum,adulto_equivalente,pobreza,IV9,IV10,IV11,II4_1,II4_2,II4_3,II5,II6,II7,II8,II9
0,TQRMNOPSWHMMKRCDEOJAH00714384,1,93,1,3,1,1,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,77500,38750.0,1,2,98,0,0,0,1,1,72,1,2,9,1,1.5,51666.67,0,1,1,1,1,1,2,2,2,1,1,1
1,TQRMNOQYSHMNKTCDEOJAH00714386,1,93,2,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,85000,21250.0,2,0,98,0,0,0,1,1,38,1,4,3,0,3.13,27156.55,0,1,1,1,1,2,2,2,2,6,1,1
2,TQRMNOQXVHLLPQCDEIJAH00718674,1,33,1,3,1,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,4,0,4,96870,24217.5,1,2,98,0,0,0,1,1,67,1,4,3,0,3.33,29090.09,0,1,2,3,1,1,2,2,2,1,1,1
3,TQRMNORWPHLKPRCDEIJAH00718675,1,33,2,2,1,9,1,1,1,1,2,1,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,90000,45000.0,1,2,98,0,0,0,1,1,35,1,5,3,0,1.77,50847.46,0,1,1,1,1,2,1,2,2,1,1,1
4,TQRMNOPWQHKLOUCDEIJAH00714088,1,33,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,92000,30666.67,2,1,98,0,0,0,1,2,33,1,6,3,0,2.54,36220.47,0,1,1,1,1,1,1,2,2,1,1,1
5,TQRMNOSQUHLMLOCDEFIAH00714474,1,2,2,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,30100,15050.0,1,0,98,0,0,0,1,2,37,1,5,3,0,1.49,20201.34,1,1,1,1,1,1,2,2,2,3,1,1
6,TQRMNOPQVHJMMPCDEGJBF00715999,1,13,1,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,108000,54000.0,2,0,98,0,0,0,1,2,31,1,6,3,0,1.44,75000.0,0,1,1,2,1,1,1,2,2,1,1,1
7,TQRMNOPQYHJMMPCDEGJBF00675435,1,13,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,140000,46666.67,1,0,2,0,0,0,1,2,50,1,5,9,4,2.61,53639.85,0,1,1,2,1,2,1,2,2,1,1,1
8,TQRMNORVTHKOLOCDEHIBB00662107,1,22,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,0,3,41000,13666.67,1,3,98,0,0,0,1,2,83,1,7,9,1,2.4,17083.33,1,1,1,1,1,2,2,2,2,1,2,1
9,TQRMNORPRHJMKSCDEHMHF00685343,1,26,1,5,1,1,1,1,1,1,2,2,2,5,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,250000,62500.0,3,0,97,0,0,0,1,1,71,1,6,9,1,3.27,76452.6,0,1,1,1,1,1,1,2,2,1,1,1
10,TQRMNOQTUHMMKSCDEHMHF00714257,1,26,1,4,1,1,1,1,1,1,2,2,2,4,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,137000,68500.0,1,0,98,0,0,0,1,2,58,2,6,3,0,1.5899999999999999,86163.52,0,1,1,1,1,2,2,2,2,1,1,1
11,TQRMNORVSHMMLMCDEFIAH00713647,1,2,1,5,1,4,1,1,1,1,2,2,2,5,2,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,160000,53333.33,1,2,98,0,0,0,1,1,38,1,6,3,0,2.2800000000000002,70175.44,0,1,1,1,1,1,2,2,2,1,1,1
12,TQRMNORPUHKMLNCDEFIAH00714470,1,2,1,3,1,2,1,1,1,1,2,2,2,3,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,50000,50000.0,1,0,98,0,0,0,1,2,54,1,4,3,0,0.76,65789.47,0,1,1,1,1,1,1,2,2,1,1,1
13,TQRMNOPXVHLOLSCDEFIAH00714471,1,2,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,100000,33333.33,1,0,97,0,0,0,1,1,71,1,5,9,1,2.5,40000.0,0,1,1,2,1,1,1,2,2,1,1,1
14,TQRMNOQTQHKNRUCDEIJAH00663379,1,33,2,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,1,2,40050,13350.0,2,0,1,0,0,0,1,1,37,4,4,3,0,2.46,16280.49,1,1,2,1,1,2,2,2,2,2,2,1
15,TQRMNORXTHKNRUCDEIJAH00718658,1,33,2,2,1,4,1,1,1,1,1,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,35000,35000.0,1,0,98,0,0,0,1,2,25,1,5,3,0,0.76,46052.63,0,1,1,1,2,1,2,2,2,3,1,1
16,TQRMNOPVPHJLTNCDEIJAH00718659,1,33,1,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,0,4,100000,25000.0,2,3,4,0,0,0,1,1,64,1,6,2,0,3.37,29673.59,0,1,1,1,1,1,1,2,2,1,1,1
17,TQSMNOQXXHMMTPCDEIJAH00714150,1,33,2,4,1,4,1,1,1,1,2,2,2,4,3,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,0,3,45000,15000.0,1,0,3,0,0,0,1,2,63,1,2,9,1,2.43,18518.52,1,1,1,1,1,1,1,2,2,1,1,1
18,TQRMNORPUHJOKOCDEGKDB00676383,1,14,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,160000,53333.33,1,2,98,0,0,0,1,1,35,1,4,3,0,2.37,67510.55,0,1,1,1,2,1,1,2,2,1,2,1
